Sample_ID,Longitude,Latitude,Slope (%),Aspect (˚),Elevation (m),NDVI,Land Use,Dist_Main_Road  (m),Dist_Near_Road (m),Dist_Tailing (m),Sand (%),Silt (%),Clay (%),pH,EC (µs/cm),TDS (mg/L),SOM (g/kg),Cu (mg/kg),Zn (mg/kg),Pb (mg/kg)
S76,16.65305,-23.79441,1.79231,135,1546,0.065,barren,2569,1400,143,87.6,9.7,2.7,7.5,116,58,2.21,86.128,31.006,7.551
S77,16.65261,-23.79449,4.54993,158.19859,1547,0.0587,barren,2541,1356,133,87.8,10.5,1.7,7.8,119,60,2.07,112.335,30.232,7.787
S78,16.65492,-23.78974,4.22451,53.1301,1554,0.0733,barren,2434,1631,336,89.2,9.4,1.3,7.7,133,66,1.45,17.251,18.152,4.508
S79,16.6548,-23.79014,5.41001,308.65979,1556,0.0739,barren,2445,1617,316,90.2,7.9,1.9,8,124,62.5,1.95,22.176,30.845,5.364
S80,16.65468,-23.79057,6.23741,298.30075,1557,0.0694,barren,2458,1595,295,90,9.2,0.9,7.6,55,27.5,1.22,25.034,20.481,5.563
S81,16.65499,-23.78932,6.35083,86.18593,1554,0.0722,barren,2419,1636,353,90.8,7.7,1.5,7.2,176,88,3.36,36.788,19.39,4.834
S82,16.65503,-23.78892,5.66777,26.56505,1553,0.0753,barren,2402,1640,371,86,11.7,2.2,8.1,54,27,2.04,43.341,18.017,5.682
S83,16.6551,-23.78846,4.00772,18.43495,1550,0.0918,barren,2384,1648,399,92.9,5.2,2,8,40,19.5,3.5,37.107,20.513,5.533
S84,16.65512,-23.78805,2.98718,45,1549,0.0877,barren,2366,1653,423,97.5,2.1,0.4,7.7,103,51.5,1.33,35.787,18.543,6.474
S85,16.65504,-23.78767,5.50808,4.3987,1548,0.0643,barren,2340,1648,442,89.9,8.9,1.2,7.8,130,65.5,1.87,521.447,26.655,17.895
S86,16.65466,-23.79132,2.15408,258.69006,1556,0.0681,barren,2499,1579,277,90.3,8.1,1.6,7.4,62,31,2.73,51.764,25.345,6.417
S87,16.65464,-23.79104,4.22451,233.1301,1556,0.0664,barren,2481,1582,281,89.6,8.7,1.7,7.9,85,42,2.68,26.522,26.43,5.799
S88,16.65349,-23.79673,5.91431,270,1539,0.0668,barren,2775,1484,397,88.6,9.3,2.2,8.3,130,65,2.4,24.127,22.052,4.598
S89,16.65302,-23.79683,4.00772,341.56506,1536,0.0719,barren,2748,1440,388,92.1,6.5,1.4,8.3,65,32.5,1.69,23.513,17.311,4.486
S90,16.65259,-23.79689,5.34363,18.43495,1537,0.0652,barren,2720,1400,376,91.4,6.6,2,8.3,107,53.5,2.69,34.476,27.203,4.418
S91,16.65213,-23.797,0.59744,225,1537,0.0687,barren,2695,1358,369,91.1,7.3,1.6,8.2,68,34,1.08,15.705,22.506,5.393
S92,16.65115,-23.79695,7.19408,183.36646,1536,0.069,barren,2602,1261,324,87.3,10.2,2.5,7.6,191,95,2.01,43.658,16.021,5.399
S93,16.63578,-23.79051,6.81181,330.25513,1543,0.0682,residential,893,21,702,84.6,14.1,1.4,7.8,113,56.5,3.18,499.081,72.544,11.335
S94,16.63535,-23.7906,8.29984,345.25644,1541,0.0692,residential,854,38,741,84.1,13.5,2.3,8.4,197,98.5,3.58,37.994,27.147,5.497
S95,16.63492,-23.79074,6.75921,0,1544,0.0692,residential,817,37,780,89,8.8,2.1,8,172,85.5,3.75,57.721,26.161,4.973
S96,16.63447,-23.79081,6.57179,315,1543,0.0759,residential,776,44,823,87.9,9.6,2.5,7.8,150,75,1.68,48.77,22.239,4.545
S97,16.63402,-23.79099,6.00415,320.71057,1542,0.0669,residential,738,39,864,82.5,15.6,1.9,8.6,272,136,2.43,33.397,22.823,5.27
S98,16.63361,-23.7911,2.38974,315,1541,0.0699,residential,702,40,903,88.2,10.1,1.7,8.4,143,71,1.08,102.606,20.621,8.503
S99,16.63326,-23.79084,5.97436,278.1301,1541,0.0746,residential,659,48,943,84.6,13.1,2.2,8.3,297,148.5,2.33,98.168,33.633,22.109
S100,16.63316,-23.79039,5.6362,282.99463,1539,0.0614,residential,634,3,963,83.1,12.8,4.1,7.8,1490,745,2.02,15.872,18.994,4.741
S101,16.63362,-23.79027,6.67953,341.56506,1540,0.0594,residential,675,12,921,80.6,16.9,2.5,8.4,154,76.5,2.15,39.91,22.124,7.422
S102,16.63405,-23.7901,1.33591,18.43495,1540,0.0622,residential,711,15,884,79.6,15.6,4.8,8.8,268,134,2.67,33.34,20.815,6.208
S103,16.63317,-23.78972,6.81181,82.87498,1538,0.1126,residential,613,62,982,84.8,13.8,1.4,8.2,170,85,2.02,24.362,29.416,8.293
S104,16.63278,-23.78956,4.81668,74.74488,1539,0.1062,residential,570,41,1025,88.5,11,0.5,8,259,129.5,2.52,18.921,26.123,8.809
S105,16.63244,-23.7901,3.37961,180,1541,0.0822,residential,554,51,1042,90.2,8.5,1.3,10.1,1515,758,2.28,35.81,50.214,19.192
S106,16.632,-23.79036,3.04634,123.69006,1539,0.0682,residential,520,25,1079,89.9,9.1,1,8.2,1223,610.5,2.79,24.266,76.589,21.148
S107,16.63159,-23.79059,4.00772,108.43495,1540,0.0523,residential,488,15,1116,80.5,17.2,2.2,8,133,66.5,1.53,11.436,30.837,8.813
S108,16.63123,-23.79075,1.33591,108.43495,1542,0.0509,residential,458,21,1149,81.8,16,2.1,7.6,1094,547,1.91,46.966,19.033,5.731
S109,16.63076,-23.79094,2.38974,135,1542,0.0627,residential,419,16,1193,89.2,9,1.8,7.8,176,87.5,2.37,84.181,56.172,44.912
S110,16.63031,-23.79118,3.63406,54.46232,1542,0.0717,residential,383,6,1235,87.4,9.7,2.9,7.8,174,87,2.71,26.106,22.893,6.894
S111,16.629914,-23.791313,6.59889,50.19443,1543,0.0639,residential,349,7,1274,89.1,1.6,9.3,7.8,135,67.5,1.61,19.526,42.374,10.842
S112,16.629513,-23.791463,2.46329,329.03625,1545,0.061,residential,315,6,1313,89.2,8.8,2,7.7,160,79.5,1.85,19.636,31.981,7.324
